drug_name,active_ingredient,drug_classes,original_conditions
mitigo,morphine,Opioids (narcotic analgesics),Pain
mobic,meloxicam,Nonsteroidal anti-inflammatory drugs,Inflammatory Conditions|Osteoarthritis|Rheumatoid Arthritis|Tendonitis|ibromyalgia
molnupiravir,molnupiravir,Miscellaneous antivirals,Covid 19
monodox,doxycycline,"Miscellaneous antimalarials, Tetracyclines",Acne|Rosacea
monovisc,hyaluronan,Viscosupplementation agents,Osteoarthritis
montelukast,montelukast,Leukotriene modifiers,"Allergic Rhinitis|Asthma|Asthma, Maintenance|Bronchospasm Prophylaxis|COPD"
morphine,morphine,Opioids (narcotic analgesics),Chronic Pain|Neonatal Abstinence Syndrome|Not Listed / Othe|Pain
motrin,ibuprofen,Nonsteroidal anti-inflammatory drugs,"Back Pain|Gout, Acute|Headache|Osteoarthritis|Pain|Period Pain|Rheumatoid Arthritis"
motrin childrens,ibuprofen,Nonsteroidal anti-inflammatory drugs,Pain
mounjaro,tirzepatide,Incretin mimetics,Diabetes (Type 2)
moxicaine,lidocaine,Topical anesthetics,Pain
moxifloxacin,moxifloxacin,Quinolones,"Anthrax|Anthrax Prophylaxis|Bacterial Infection|Bronchitis|Conjunctivitis, Bacterial|Cutaneous Bacillus anthracis|Intraabdominal Infection|Ophthalmic Surgery|Plague|Plague Prophylaxis|Pneumonia|Prostatitis|Sinusitis|Skin and Structure Infection|Tuberculosis, Active"
ms contin,morphine,Opioids (narcotic analgesics),Chronic Pain|Pain
mst,magnesium salicylate,Salicylates,Pain
mucinex,guaifenesin,Expectorants,Bronchitis|Cough|ibromyalgia
mucinex allergy,fexofenadine,,Hayfever
mucinex maximum strength,guaifenesin,Expectorants,Bronchitis|Cough
muse,alprostadil,"Impotence agents, Vasodilators",Erectile Dysfunction
myorisan,isotretinoin,"Miscellaneous antineoplastics, Miscellaneous uncategorized agents",Acne
myrbetriq,mirabegron,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Incontinence
mysoline,primidone,Barbiturate anticonvulsants,Benign Essential Trem|Seizures
mytesi,crofelemer,Antidiarrheals,Diarrhea
myxredlin,insulin regular,Insulin,Diabetes (Type 1)
nabumetone,nabumetone,Nonsteroidal anti-inflammatory drugs,Back Pain|Frozen Shoulder|Muscle Pain|Not Listed / Othe|Osteoarthritis|Rheumatoid Arthritis|Sciatica|zen Shoulde
nadolol,nadolol,Non-cardioselective beta blockers,Angina|Anxiety|Benign Essential Trem|Benign Essential Tremor|Esophageal Variceal Hemorrhage Prophylaxis|Glaucoma|High Blood Pressure|Lithium Tremor|Long QT Syndrome|Migraine Prevention|Mitral Valve Prolapse|Parkinsonian Tremor|Portal Hypertension|Supraventricular Tachycardia
nalfon,fenoprofen,Nonsteroidal anti-inflammatory drugs,"Gout, Acute|Osteoarthritis"
namenda,memantine,Miscellaneous central nervous system agents,Alzheimer's|Alzheimer's Disease
namenda xr,memantine,Miscellaneous central nervous system agents,Alzheimer's|Alzheimer's Disease
naprelan,naproxen,Nonsteroidal anti-inflammatory drugs,Back Pain|Headache|Muscle Pain|Osteoarthritis|Pain|Period Pain|Sciatica
naprosyn,naproxen,Nonsteroidal anti-inflammatory drugs,"Ankylosing Spondylitis|Back Pain|Chronic Myofascial Pain|Costochondritis|Gout, Acute|Muscle Pain|Osteoarthritis|Pain|Rheumatoid Arthritis|Sciatica|Tendonitis"
naproxen,naproxen,Nonsteroidal anti-inflammatory drugs,"Ankylosing Spondylitis|Aseptic Necrosis|Back Pain|Bursitis|Chronic Myofascial Pain|Costochondritis|Diffuse Idiopathic Skeletal Hyperostosis|Dysautonomia|Fever|Frozen Shoulder|Gout, Acute|Headache|Herniated Disk|Juvenile Rheumatoid Arthritis|Muscle Pain|Neck Pain|Not Listed / Othe|Osteoarthritis|Pain|Period Pain|Period Pain (Dysmenorrhea)|Radiculopathy|Rheumatoid Arthritis|Sciatica|Spondylolisthesis|Tendonitis|Transverse Myelitis|zen Shoulde"
naratriptan,naratriptan,Antimigraine agents,Migraine
nardil,phenelzine,Monoamine oxidase inhibitors,Depression|Migraine Prevention
nasacort allergy 24hr,triamcinolone,Nasal steroids,Allergic Rhinitis|Hayfever
nasalcrom,cromolyn sodium,Nasal antihistamines and decongestants,Hayfever
nateglinide,nateglinide,Meglitinides,"Diabetes (Type 2)|Diabetes, Type 2"
natural fiber therapy,psyllium,Laxatives,Constipation
nature-throid,thyroid desiccated,Thyroid drugs,"Hashimoto's disease|Hypothyroidism|Hypothyroidism, After Thyroid Removal|Thyroid Cance|Underactive Thyroid"
nayzilam,midazolam,Benzodiazepines,Seizures
nebivolol,nebivolol,Cardioselective beta blockers,High Blood Pressure|Hypertension|Mitral Valve Prolapse|Not Listed / Othe
nelfinavir,nelfinavir,Protease inhibitors,AIDS/HIV
neoral,cyclosporine,Calcineurin inhibitors,"Idiopathic Thrombocytopenic Purpura|Organ Transplant, Rejection Prophylaxis|Psoriasis"
nesina,alogliptin,Dipeptidyl peptidase 4 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
neutrogena rapid clear stubborn acne,benzoyl peroxide topical,Topical acne agents,Acne
neutrogena t/derm,coal tar,Miscellaneous topical agents,Psoriasis
neutrogena t/gel,coal tar topical,Miscellaneous topical agents,Psoriasis
nevirapine,nevirapine,NNRTIs,AIDS/HIV|HIV Infection|Reduction of Perinatal Transmission of HIV
nexiclon xr,clonidine,"Antiadrenergic agents, centrally acting",Hypertension
nexium iv,esomeprazole,Proton pump inhibitors,GERD|GERD (Heartburn)
niacin,niacin,"Miscellaneous antihyperlipidemic agents, Vitamins","Cholesterol|Depression|High Cholesterol|Hyperlipoproteinemia|Hyperlipoproteinemia Type IV, Elevated VLDL|Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL|Niacin Deficiency|Pellagra"
niacor,niacin,"Miscellaneous antihyperlipidemic agents, Vitamins",Cholesterol
niaspan,niacin,"Miscellaneous antihyperlipidemic agents, Vitamins","Cholesterol|High Cholesterol|Hyperlipoproteinemia|Hyperlipoproteinemia Type IV, Elevated VLDL"
nicardipine,nicardipine,Calcium channel blocking agents,Hypertension
nifedipine,nifedipine,Calcium channel blocking agents,Angina Pectoris Prophylaxis|High Blood Pressure|Hypertension|Hypertensive Emergency|Hypertrophic Cardiomyopathy|Not Listed / Othe|Premature Lab|Premature Labor|Raynaud's Syndrome
nighttime sleepaid,doxylamine,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
nisoldipine,nisoldipine,Calcium channel blocking agents,Hypertension|Raynaud's Syndrome
nitro td patch-a,nitroglycerin,"Antianginal agents, Vasodilators",Angina
nitro-bid,nitroglycerin,"Antianginal agents, Vasodilators",Angina|Heart Attack|Raynaud's Syndrome
nitro-dur,nitroglycerin,"Antianginal agents, Vasodilators",Angina|High Blood Pressure
nitrofurantoin,nitrofurantoin,Urinary anti-infectives,Bladder Infection|Not Listed / Othe|Prevention of Bladder infection|Prevention of Bladder infection (Cystitis Prophylaxis)|UTI|Urinary Tract Infection
nitroglycerin,nitroglycerin,"Antianginal agents, Vasodilators",Anal Fissure and Fistula|Angina|Angina Pectoris Prophylaxis|Heart Attack|Heart Attack (Myocardial Infarction)|Heart Failure|High Blood Pressure|Raynaud's Syndrome
nitromist,nitroglycerin,"Antianginal agents, Vasodilators",Angina
nitrostat,nitroglycerin,"Antianginal agents, Vasodilators",Angina|Angina Pectoris Prophylaxis|Heart Failure
nizatidine,nizatidine,H2 antagonists,GERD|GERD (Heartburn)|Stomach Ulce
nolix,flurandrenolide topical,Topical steroids,Eczema
norliqva,amlodipine,Calcium channel blocking agents,Angina
norpramin,desipramine,Tricyclic antidepressants,Depression
nortriptyline,nortriptyline,Tricyclic antidepressants,Burning Mouth Syndrome (Glossopyrosis)|Cyclic Vomiting Syndrome|Depression|Diabetic Peripheral Neuropathy|Dysautonomia|Irritable Bowel Syndrome|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Neuralgia|Neurosis|Not Listed / Othe|Pain|Panic Disorde|Postherpetic Neuralgia|Primary Nocturnal Enuresis|Reflex Sympathetic Dystrophy Syndrome|Smoking Cessation|Tinnitus|Vulvodynia
norvasc,amlodipine,Calcium channel blocking agents,Angina|Heart Failure|High Blood Pressure|Migraine Prevention|Raynaud's Syndrome
norvir,ritonavir,"Antiviral boosters, Protease inhibitors",AIDS/HIV|HIV Infection
norwich aspirin,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
novolin n,insulin isophane,Insulin,"Diabetes (Type 1)|Diabetes, Type 2"
novolin r,insulin regular,Insulin,Diabetes (Type 1)
novolog,insulin aspart,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
novolog flexpen,insulin aspart,Insulin,"Diabetes (Type 1)|Diabetes, Type 2"
novolog penfill,insulin aspart,Insulin,Diabetes (Type 1)
np thyroid,thyroid desiccated,Thyroid drugs,"Hashimoto's disease|Hypothyroidism|Hypothyroidism, After Thyroid Removal|TSH Suppression|Underactive Thyroid"
nucala,mepolizumab,Interleukin inhibitors,Asthma
nucort,hydrocortisone,Topical steroids,Eczema
nucynta,tapentadol,Opioids (narcotic analgesics),Pain
nucynta er,tapentadol,Opioids (narcotic analgesics),Diabetic Peripheral Neuropathy|Pain
nuprin,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
nuprin backache,magnesium salicylate,Salicylates,Pain
nurtec odt,rimegepant,CGRP inhibitors,Migraine
nuzyra,omadacycline,Tetracyclines,Pneumonia
nytol quickcaps,diphenhydramine,,Insomnia
ofirmev,acetaminophen,Miscellaneous analgesics,Pain
ofloxacin,ofloxacin,Quinolones,"Acute Otitis Externa|Anthrax|Anthrax Prophylaxis|Bone infection (Osteomyelitis)|Bronchitis|Campylobacter Gastroenteritis|Cervicitis|Conjunctivitis, Bacterial|Corneal Ulce|Corneal Ulcer|Epididymitis, Non-Specific|Epididymitis, Sexually Transmitted|Gonococcal Infection, Disseminated|Methicillin-Resistant Staphylococcus Aureus Infection|Mycobacterium avium-intracellulare, Treatment|Ophthalmic Surgery|Otitis Media|Pelvic Inflammatory Disease|Plague|Prostatitis|Salmonella Enteric Fever|Salmonella Gastroenteritis|Shigellosis|Traveler's Diarrhea|Urinary Tract Infection"
ogen,estropipate,Estrogens,Osteoporosis|Postmenopausal Symptoms
ohm allergy relief,loratadine,Antihistamines,Hayfever
olanzapine,olanzapine,Atypical antipsychotics,"Agitated State|Agitation|Anorexia|Anorexia Nervosa|Asperger Syndrome|Bipolar Disorde|Bipolar Disorder|Body Dysmorphic Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Depression|Depressive Psychosis|Insomnia|Major Depressive Disorde|Nausea/Vomiting, Chemotherapy Induced|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Paranoid Disorde|Paranoid Disorder|Schizoaffective Disorde|Schizoaffective Disorder|Schizophrenia|Tourette's Syndrome"
oliceridine,oliceridine,Opioids (narcotic analgesics),Pain
olinvyk,oliceridine,Opioids (narcotic analgesics),Pain
olmesartan,olmesartan,Angiotensin receptor blockers,High Blood Pressure|Hypertension|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Not Listed / Othe
olodaterol,olodaterol,Adrenergic bronchodilators,COPD|Not Listed / Othe
olopatadine,olopatadine,Nasal antihistamines and decongestants,Allergic Rhinitis|Hayfever|Seasonal Allergic Conjunctivitis
olumiant,baricitinib,"Antirheumatics, Selective immunosuppressants",Covid 19
olux,clobetasol topical,Topical steroids,Dermatitis|Dermatological Disorders|Eczema|Psoriasis
olux-e,clobetasol topical,Topical steroids,Atopic Dermatitis|Eczema
omadacycline,omadacycline,Tetracyclines,Pneumonia
omeprazole,omeprazole,Proton pump inhibitors,Barrett's Esophagus|Duodenal Ulce|Duodenal Ulcer|Erosive Esophagitis|GERD|GERD (Heartburn)|Gastritis/Duodenitis|Helicobacter Pylori Infection|Hiatal Hernia|Indigestion|Laryngopharyngeal Reflux|Multiple Endocrine Adenomas|Stomach Ulce|Stomach Ulcer (Gastric Ulcer)|Systemic Mastocytosis|Zollinger-Ellison Syndrome
omnaris,ciclesonide nasal,Nasal steroids,Allergic Rhinitis|Hayfever
onabotulinumtoxina,onabotulinumtoxina,Skeletal muscle relaxants,Blepharospasm|Bruxism|Cervical Dystonia|Cervical Dystonia (Spasmodic Torticollis)|Chronic Spasticity|Crow's Feet|Dystonia|Facial Wrinkles|Forehead Lines|Hyperhidrosis|Incontinence|Lower Limb Spasticity|Migraine|Migraine Prevention|Orbicularis Oculi|Overactive Bladde|Overactive Bladder|Strabismus|Upper Limb Spasticity|Urinary Frequency|Urinary Incontinence|acial Wrinkles
onglyza,saxagliptin,Dipeptidyl peptidase 4 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
onzetra xsail,sumatriptan,Antimigraine agents,Migraine
oralone,triamcinolone topical,Topical steroids,Eczema
orencia,abatacept,"Antirheumatics, Selective immunosuppressants",Juvenile Idiopathic Arthritis|Rheumatoid Arthritis
orlistat,orlistat,Peripherally acting antiobesity agents,Nonalcoholic Fatty Liver Disease|Not Listed / Othe|Obesity|Weight Loss
orthovisc,hyaluronan,Viscosupplementation agents,Osteoarthritis
oscion,benzoyl peroxide topical,Topical acne agents,Acne
oseltamivir,oseltamivir,Neuraminidase inhibitors,Avian Influenza|Influenza|Influenza Prophylaxis|Swine Flu
otrexup,methotrexate,"Antimetabolites, Antipsoriatics, Antirheumatics, Other immunosuppressants",Psoriasis|Rheumatoid Arthritis
oxaprozin,oxaprozin,Nonsteroidal anti-inflammatory drugs,Juvenile Rheumatoid Arthritis|Osteoarthritis|Rheumatoid Arthritis
oxaydo,oxycodone,Opioids (narcotic analgesics),Chronic Pain|Pain
oxcarbazepine,oxcarbazepine,Dibenzazepine anticonvulsants,Anxiety|Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Cyclothymic Disorde|Cyclothymic Disorder|Epilepsy|Neuropathic Pain|Not Listed / Othe|Seizures|Seizures (Convulsions)|Trigeminal Neuralgia
oxipor vhc,coal tar topical,Miscellaneous topical agents,Psoriasis
oxsoralen-ultra,methoxsalen,Psoralens,Psoriasis
oxtellar xr,oxcarbazepine,Dibenzazepine anticonvulsants,Bipolar Disorde|Seizures
oxy daily wash,benzoyl peroxide topical,Topical acne agents,Acne
oxy-10,benzoyl peroxide topical,Topical acne agents,Acne
oxybutynin,oxybutynin,Urinary antispasmodics,Dysuria|Hyperhidrosis|Incontinence|Not Listed / Othe|Overactive Bladde|Prostatitis|Spina bifida|Urinary Frequency|Urinary Incontinence|Women (oxybutynin)
oxycodone,oxycodone,Opioids (narcotic analgesics),Chronic Pain|Not Listed / Othe|Pain
oxycontin,oxycodone,Opioids (narcotic analgesics),Chronic Pain|Pain
oxydose,oxycodone,Opioids (narcotic analgesics),Pain
oxyfast,oxycodone,Opioids (narcotic analgesics),Chronic Pain|Pain
oxytrol,oxybutynin,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Incontinence
p & s,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
paliperidone,paliperidone,Atypical antipsychotics,Autism|Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorder|Depression|Schizoaffective Disorde|Schizoaffective Disorder|Schizophrenia
pamelor,nortriptyline,Tricyclic antidepressants,Cyclic Vomiting Syndrome|Depression|Migraine Prevention|Neuralgia|Pain|Panic Disorde|Smoking Cessation|Tinnitus|Vulvodynia
pandel,hydrocortisone topical,Topical steroids,Eczema
panoxyl,benzoyl peroxide topical,Topical acne agents,Acne
pantoprazole,pantoprazole,Proton pump inhibitors,Barrett's Esophagus|Dumping Syndrome|Duodenal Ulce|Duodenal Ulcer|Erosive Esophagitis|GERD|GERD (Heartburn)|Gastritis/Duodenitis|Helicobacter Pylori Infection|Laryngopharyngeal Reflux|Peptic Ulce|Peptic Ulcer|Stomach Ulce|Stomach Ulcer (Gastric Ulcer)|Stress Ulcer Prophylaxis|Zollinger-Ellison Syndrome
parnate,tranylcypromine,Monoamine oxidase inhibitors,Depression
paroxetine,paroxetine,Selective serotonin reuptake inhibitors,Anxiety|Anxiety and Stress|Body Dysmorphic Disorder|Depression|Dysautonomia|Excoriation Disorder|Generalized Anxiety Disorde|Generalized Anxiety Disorder|Hot Flashes|Intermittent Explosive Disorder|Major Depressive Disorde|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Panic Disorde|Panic Disorder|Persistent Depressive Disorder|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder|Postmenopausal Symptoms|Postpartum Depression|Premenstrual Dysphoric Disorde|Premenstrual Dysphoric Disorder|Social Anxiety Disorde|Social Anxiety Disorder|Somatoform Pain Disorder|Trichotillomania|Vulvodynia
patanase,olopatadine,Nasal antihistamines and decongestants,Allergic Rhinitis|Hayfever
paxil,paroxetine,Selective serotonin reuptake inhibitors,Anxiety|Anxiety and Stress|Depression|Dysautonomia|Generalized Anxiety Disorde|Hot Flashes|Major Depressive Disorde|Obsessive Compulsive Disorde|Panic Disorde|Post Traumatic Stress Disorde|Postmenopausal Symptoms|Postpartum Depression|Social Anxiety Disorde|Trichotillomania
paxil cr,paroxetine,Selective serotonin reuptake inhibitors,Anxiety|Depression|Generalized Anxiety Disorde|Panic Disorde|Premenstrual Dysphoric Disorde|Social Anxiety Disorde
pce dispertab,erythromycin,Macrolides,Bronchitis
pedia-lax chewable tablets,magnesium hydroxide,"Antacids, Laxatives",Constipation
pedia-lax liquid glycerin suppositories,glycerin,Laxatives,Constipation
peg3350,polyethylene glycol 3350,Laxatives,Bowel Preparation|Constipation
pegloticase,pegloticase,Antihyperuricemic agents,Gout
penicillamine,penicillamine,Antirheumatics,Cystinuria|Rheumatoid Arthritis|Wilson's Disease
penicillin g potassium,penicillin g potassium,Natural penicillins,"Actinomycosis|Anthrax|Botulism|Clostridioides difficile Infection|Congenital Syphilis|Cutaneous Bacillus anthracis|Deep Neck Infection|Diphtheria|Fusospirochetosis, Trench Mouth|Gonococcal Infection, Disseminated|Gram Negative Infection|Leptospirosis|Lyme Disease, Neurologic|Meningitis, Meningococcal|Meningitis, Pneumococcal|Meningitis, Streptococcus Group B|Neurosyphilis|Pneumonia|Prevention of Perinatal Group B Streptococcal Disease|Rat-bite Fever|Septicemia|Streptococcal Infection|Tetanus"
pennsaid,diclofenac topical,Topical non-steroidal anti-inflammatories,Osteoarthritis
pentasa,mesalamine,5-aminosalicylates,"Crohn's Disease|Crohn's Disease, Maintenance|IBD (Bowel)|Inflammatory Bowel Disease|Ulcerative Colitis|Ulcerative Colitis, Active|Ulcerative Proctitis"
pepcid,famotidine,H2 antagonists,Duodenal Ulce|GERD|GERD (Heartburn)|Peptic Ulce|Urticaria
pepcid ac,famotidine,H2 antagonists,GERD (Heartburn)
peptic relief,bismuth subsalicylate,Antidiarrheals,Diarrhea
pepto-bismol,bismuth subsalicylate,Antidiarrheals,"Diarrhea|Diarrhea, Chronic|Indigestion"
perampanel,perampanel,AMPA receptor antagonists,Epilepsy|Seizures
persa-gel,benzoyl peroxide topical,Topical acne agents,Acne
perseris,risperidone,,Schizophrenia
pexeva,paroxetine,Selective serotonin reuptake inhibitors,Anxiety
pfizerpen,penicillin g potassium,Natural penicillins,Pneumonia
pharbetol,acetaminophen,Miscellaneous analgesics,Pain
phenadoz,promethazine,"Antihistamines, Phenothiazine antiemetics",Hayfever
phendimetrazine,phendimetrazine,"Anorexiants, CNS stimulants",Not Listed / Othe|Obesity|Weight Loss
phenelzine,phenelzine,Monoamine oxidase inhibitors,Depression|Migraine Prevention
phenergan,promethazine,"Antihistamines, Phenothiazine antiemetics",Allergic Reactions|Allergic Rhinitis|Hayfever|Light Sedation|Motion Sickness|Nausea/Vomiting|Opiate Adjunct|Sedation|Vertig
phentermine,phentermine,"Anorexiants, CNS stimulants",Not Listed / Othe|Obesity|Weight Loss
phenytek,phenytoin,"Group I antiarrhythmics, Hydantoin anticonvulsants",Epilepsy|Seizures
